Image scenario, Box Id, detector type , descriptor type, ttc_lidar, ttc_camera, ttc abs_diff, KPTMAtch_NUM, NUM_lidar_points
11,4,AKAZE,AKAZE,12.8086,12.3857,0.422885,114,300
12,4,AKAZE,AKAZE,8.95978,11.2523,2.29256,119,300
13,1,AKAZE,AKAZE,9.96439,11.7009,1.73646,114,314
14,1,AKAZE,AKAZE,9.59863,10.441,0.84241,121,305
15,1,AKAZE,AKAZE,8.52157,10.2911,1.7695,109,286
16,1,AKAZE,AKAZE,9.51552,10.5294,1.01392,119,288
17,1,AKAZE,AKAZE,9.61241,9.22794,0.384479,111,273
18,1,AKAZE,AKAZE,8.3988,9.06053,0.661724,107,295
1,5,AKAZE,SIFT,12.5156,12.7894,0.273819,102,338
2,3,AKAZE,SIFT,12.6142,14.6917,2.07744,112,305
3,5,AKAZE,SIFT,14.091,13.339,0.752046,126,321
4,6,AKAZE,SIFT,16.6894,15.1948,1.49459,106,319
5,5,AKAZE,SIFT,15.7465,16.8975,1.15099,105,340
6,6,AKAZE,SIFT,12.7835,15.3867,2.60321,101,345
7,4,AKAZE,SIFT,11.9844,15.6477,3.66338,124,315
8,5,AKAZE,SIFT,13.1241,14.3732,1.24912,122,307
9,4,AKAZE,SIFT,13.0241,14.9832,1.9591,122,302
10,4,AKAZE,SIFT,11.1746,12.1169,0.942265,131,278
11,4,AKAZE,SIFT,12.8086,12.5374,0.271194,120,300
12,4,AKAZE,SIFT,8.95978,11.5844,2.62465,127,300
13,1,AKAZE,SIFT,9.96439,11.9054,1.94101,123,314
14,1,AKAZE,SIFT,9.59863,11.3355,1.73689,125,305
15,1,AKAZE,SIFT,8.52157,9.59145,1.06989,113,286
16,1,AKAZE,SIFT,9.51552,10.4774,0.961861,124,288
17,1,AKAZE,SIFT,9.61241,9.35868,0.253738,115,273
18,1,AKAZE,SIFT,8.3988,9.35721,0.95841,119,295
1,5,SIFT,BRIEF,12.5156,12.4454,0.0702367,67,338
2,3,SIFT,BRIEF,12.6142,13.9122,1.29792,74,305
3,5,SIFT,BRIEF,14.091,14.8155,0.724486,92,321
4,6,SIFT,BRIEF,16.6894,21.1723,4.4829,79,319
5,5,SIFT,BRIEF,15.7465,16.4713,0.724786,69,340
6,6,SIFT,BRIEF,12.7835,12.4407,0.342817,88,345
7,4,SIFT,BRIEF,11.9844,15.2185,3.2342,96,315
8,5,SIFT,BRIEF,13.1241,14.1556,1.03152,93,307
9,4,SIFT,BRIEF,13.0241,12.9648,0.0592823,99,302
10,4,SIFT,BRIEF,11.1746,11.6707,0.496049,73,278
11,4,SIFT,BRIEF,12.8086,12.8365,0.0279226,70,300
12,4,SIFT,BRIEF,8.95978,9.69049,0.730707,82,300
13,1,SIFT,BRIEF,9.96439,10.8938,0.929361,73,314
14,1,SIFT,BRIEF,9.59863,9.21285,0.385777,74,305
15,1,SIFT,BRIEF,8.52157,9.48275,0.961188,62,286
16,1,SIFT,BRIEF,9.51552,8.97689,0.538634,86,288
17,1,SIFT,BRIEF,9.61241,8.68886,0.923553,61,273
18,1,SIFT,BRIEF,8.3988,8.6327,0.233896,67,295
1,5,SIFT,BRISK,12.5156,14.1615,1.64588,65,338
2,3,SIFT,BRISK,12.6142,12.5597,0.0545167,67,305
3,5,SIFT,BRISK,14.091,13.5403,0.550718,85,321
4,6,SIFT,BRISK,16.6894,21.5677,4.87831,75,319
5,5,SIFT,BRISK,15.7465,14.7462,1.00037,67,340
6,6,SIFT,BRISK,12.7835,11.8061,0.977401,72,345
7,4,SIFT,BRISK,11.9844,14.6191,2.63472,82,315
8,5,SIFT,BRISK,13.1241,13.6062,0.482079,84,307
9,4,SIFT,BRISK,13.0241,12.1211,0.903062,89,302
10,4,SIFT,BRISK,11.1746,9.56014,1.61451,71,278
11,4,SIFT,BRISK,12.8086,12.6111,0.197531,67,300
12,4,SIFT,BRISK,8.95978,10.2392,1.27946,70,300
13,1,SIFT,BRISK,9.96439,10.5577,0.593297,66,314
14,1,SIFT,BRISK,9.59863,9.55221,0.0464218,69,305
15,1,SIFT,BRISK,8.52157,9.53774,1.01617,64,286
16,1,SIFT,BRISK,9.51552,9.22099,0.294532,75,288
17,1,SIFT,BRISK,9.61241,9.40411,0.208302,58,273
18,1,SIFT,BRISK,8.3988,8.95726,0.558456,59,295
1,5,SIFT,FREAK,12.5156,13.8608,1.34517,62,338
2,3,SIFT,FREAK,12.6142,13.6164,1.00213,66,305
3,5,SIFT,FREAK,14.091,13.208,0.882986,86,321
4,6,SIFT,FREAK,16.6894,22.5333,5.84388,68,319
5,5,SIFT,FREAK,15.7465,16.9709,1.22436,62,340
6,6,SIFT,FREAK,12.7835,12.9786,0.195133,73,345
7,4,SIFT,FREAK,11.9844,14.4981,2.51377,82,315
8,5,SIFT,FREAK,13.1241,13.0799,0.044189,88,307
9,4,SIFT,FREAK,13.0241,12.9297,0.0944252,82,302
10,4,SIFT,FREAK,11.1746,10.4069,0.767775,72,278
11,4,SIFT,FREAK,12.8086,12.2748,0.533821,67,300
12,4,SIFT,FREAK,8.95978,10.1869,1.22714,66,300
13,1,SIFT,FREAK,9.96439,9.64767,0.316723,59,314
14,1,SIFT,FREAK,9.59863,9.13544,0.463185,70,305
15,1,SIFT,FREAK,8.52157,8.82858,0.30701,60,286
16,1,SIFT,FREAK,9.51552,8.6137,0.901823,74,288
17,1,SIFT,FREAK,9.61241,8.86007,0.75234,55,273
18,1,SIFT,FREAK,8.3988,9.31975,0.920943,63,295
1,5,SIFT,SIFT,12.5156,12.2713,0.244336,89,338
2,3,SIFT,SIFT,12.6142,13.2119,0.597611,88,305
3,5,SIFT,SIFT,14.091,12.7517,1.33927,102,321
4,6,SIFT,SIFT,16.6894,17.3317,0.642355,97,319
5,5,SIFT,SIFT,15.7465,16.2009,0.454322,88,340
6,6,SIFT,SIFT,12.7835,11.4798,1.30367,91,345
7,4,SIFT,SIFT,11.9844,13.8693,1.88495,111,315
8,5,SIFT,SIFT,13.1241,14.4328,1.30867,107,307
9,4,SIFT,SIFT,13.0241,12.5912,0.432893,113,302
10,4,SIFT,SIFT,11.1746,10.9675,0.207162,87,278
11,4,SIFT,SIFT,12.8086,11.8093,0.999317,89,300
12,4,SIFT,SIFT,8.95978,10.5404,1.5806,100,300
13,1,SIFT,SIFT,9.96439,9.74139,0.222996,98,314
14,1,SIFT,SIFT,9.59863,9.39924,0.199388,96,305
15,1,SIFT,SIFT,8.52157,9.28975,0.768181,93,286
16,1,SIFT,SIFT,9.51552,8.9716,0.54392,96,288
17,1,SIFT,SIFT,9.61241,8.77812,0.834294,80,273
18,1,SIFT,SIFT,8.3988,8.81473,0.415925,85,295
